,total_pressure,mean_molar_mass
0,574.4992967910655,0.020709541822387517
1,441.28953575129805,0.03942135315470918
2,562.0607201450591,0.03208485268945588
3,433.5891482018817,0.05394871572434751
4,641.0624013652139,0.028399281840602194
5,366.0192390961767,0.055950449946738263
6,488.97685563910295,0.03491408597172379
7,583.2779011943968,0.028555604599447205
8,776.5700330943489,0.0515011440963637
9,375.85112176108424,0.03899559452936281
10,929.6538136774947,0.03598099321448925
11,429.6318027767685,0.052425384587364836
12,453.282424900996,0.04099153577419488
13,474.9702747626232,0.03258145974752482
14,541.5310523130593,0.03761041910904857
15,414.6342027082827,0.055584157804613635
16,345.4115298430922,0.04534816963606471
17,346.6292050566971,0.040753033521165376
18,530.6631793677154,0.038285677882445676
19,335.96320160121627,0.050522850919919114
20,566.3647107844671,0.0492838122736588
21,685.6320199909845,0.023797516908496612
22,444.4597737060007,0.03527851069757754
23,358.6915772690293,0.049263703600701245
24,480.97969665038624,0.05397117951297637
25,348.02006167904796,0.03758763994733297
26,485.0048651044483,0.033863640577515945
27,364.4920936417646,0.04621292829726521
28,710.5155745097609,0.024255614863148135
29,366.6254592972393,0.041014778829361546
30,684.520265720383,0.049469190581804386
31,920.8484328685582,0.039426676753487544
32,305.5774317752479,0.05637523327341904
33,414.1479452723898,0.036199661861505285
34,490.5129653067929,0.029077638064141185
35,327.97877598802876,0.033377932687503296
36,521.4727391270309,0.025826971725847123
37,520.0564390663912,0.03004487937757084
38,649.2608958764815,0.03067560386206478
39,331.4747813704979,0.0505315557208862
40,747.5891893797648,0.039526915366047334
41,543.4891926847257,0.05337552475414981
42,468.08140390807296,0.04663120275213309
43,466.1196022807931,0.0408646943705905
44,822.1540172886143,0.02632564070342603
45,335.61806085547204,0.05967232356202773
46,348.4169813871283,0.04393060495360954
47,325.65003345185227,0.058634481301346304
48,425.2961233978752,0.03239666851343282
49,348.41117779229995,0.053856330051538316
50,472.94506361517176,0.050246177534056406
51,352.96761947926194,0.05548100664361112
52,630.8643855387369,0.02953643133409869
53,476.59614696589495,0.031650996052809875
54,304.6147787150221,0.05589676255082798
55,379.49032194806756,0.043089658652112714
56,464.4774855546084,0.03597596311873038
57,1004.495161253049,0.040281416197961925
58,773.1390370608176,0.0321898959074994
59,554.0800329286051,0.044028802351142406
60,514.8628425982185,0.05335680916009534
61,435.7381022807906,0.03596923437956883
62,1065.8292015383665,0.04722447098141543
63,896.1439081834346,0.026417651943817098
64,484.55411809293804,0.03466350767220026
65,368.0964738185574,0.01982120310747402
66,487.5001248022485,0.03927823812199952
67,433.63085711038207,0.054872318122054925
68,726.0541826500657,0.05116182914503163
69,320.96925420631953,0.05944760873106895
70,468.3119811776412,0.03724316779818072
71,402.35935524464827,0.05246262479479709
72,308.6144173985287,0.039473024177225736
73,316.6349177480353,0.04867535181624757
74,329.8136249994308,0.045816442995133475
75,885.0033465897259,0.022206272529560964
76,438.09945168104446,0.05645186385299288
77,851.0183023706473,0.040809367003900296
78,637.6487007929138,0.048775913641562134
79,350.9137784665485,0.03464786012896376
80,629.4603086718048,0.04508967684682986
81,476.8739170754022,0.050318432750559
82,355.6570708756971,0.056209509790360886
83,378.2858521889801,0.05086469385384621
84,822.8032959961121,0.043595880595197145
85,444.12728967961107,0.0576288567859317
86,691.743745399727,0.04601812345227577
87,588.5647424298537,0.053537605784258195
88,443.7572848488086,0.05426099911583777
89,554.2527160238427,0.029438783356536064
90,560.6196305598332,0.030733879860856017
91,346.6941095542895,0.057970638858948174
92,1036.5572162500991,0.04711307489479773
93,342.94811888884607,0.04911825307815299
